"typeResult","idGame","slugTeam","idTeam","pctEFGOpponent","pctTOVOpponent","pctOREBOpponent","teamName","cityTeam","minExact","rateFTA","rateFTAOpponent"
"team",22200241,"WAS",1610612764,0.43,0.12,0.397,"Wizards","Washington",240,0.194,0.23
"team",22200241,"CHA",1610612766,0.5,0.164,0.327,"Hornets","Charlotte",240,0.23,0.194
"team",22200246,"DEN",1610612743,0.545,0.138,0.167,"Nuggets","Denver",240,0.244,0.269
"team",22200246,"DAL",1610612742,0.532,0.163,0.233,"Mavericks","Dallas",240,0.269,0.244
"team",22200247,"SAS",1610612759,0.6,0.142,0.195,"Spurs","San Antonio",240,0.095,0.282
"team",22200247,"LAL",1610612747,0.424,0.094,0.232,"Lakers","Los Angeles",240,0.282,0.095
"team",22200242,"SAC",1610612758,0.612,0.119,0.227,"Kings","Sacramento",240,0.412,0.258
"team",22200242,"DET",1610612765,0.624,0.106,0.308,"Pistons","Detroit",240,0.258,0.412
"team",22200244,"MIA",1610612748,0.608,0.206,0.436,"Heat","Miami",240,0.275,0.193
"team",22200244,"CLE",1610612739,0.425,0.169,0.26,"Cavaliers","Cleveland",240,0.193,0.275
"team",22200240,"PHX",1610612756,0.441,0.113,0.264,"Suns","Phoenix",240,0.178,0.294
"team",22200240,"NYK",1610612752,0.51,0.13,0.45,"Knicks","New York",240,0.294,0.178
"team",22200248,"CLE",1610612739,0.5,0.168,0.3,"Cavaliers","Cleveland",240,0.329,0.195
"team",22200248,"ATL",1610612737,0.671,0.206,0.138,"Hawks","Atlanta",240,0.195,0.329
"team",22200252,"MIN",1610612750,0.45,0.141,0.298,"Timberwolves","Minnesota",240,0.235,0.333
"team",22200252,"MIA",1610612748,0.518,0.17,0.188,"Heat","Miami",240,0.333,0.235
"team",22200249,"ORL",1610612753,0.576,0.196,0.333,"Magic","Orlando",240,0.294,0.314
"team",22200249,"IND",1610612754,0.488,0.168,0.275,"Pacers","Indiana",240,0.314,0.294
"team",22200251,"POR",1610612757,0.599,0.139,0.262,"Trail Blazers","Portland",240,0.204,0.291
"team",22200251,"MIL",1610612749,0.516,0.152,0.294,"Bucks","Milwaukee",240,0.291,0.204
"team",22200250,"CHI",1610612741,0.546,0.144,0.135,"Bulls","Chicago",240,0.225,0.195
"team",22200250,"BOS",1610612738,0.596,0.143,0.277,"Celtics","Boston",240,0.195,0.225
"team",22200253,"NOP",1610612740,0.446,0.256,0.17,"Pelicans","New Orleans",240,0.231,0.257
"team",22200253,"GSW",1610612744,0.621,0.136,0.298,"Warriors","Golden State",240,0.257,0.231
"team",22200255,"UTA",1610612762,0.566,0.155,0.356,"Jazz","Utah",240,0.27,0.209
"team",22200255,"LAC",1610612746,0.517,0.169,0.4,"Clippers","LA",240,0.209,0.27
"team",22200254,"OKC",1610612760,0.582,0.14,0.38,"Thunder","Oklahoma City",240,0.364,0.206
"team",22200254,"NYK",1610612752,0.534,0.133,0.28,"Knicks","New York",240,0.206,0.364
"team",22200256,"PHI",1610612755,0.606,0.155,0.211,"76ers","Philadelphia",240,0.162,0.163
"team",22200256,"BKN",1610612751,0.515,0.104,0.421,"Nets","Brooklyn",240,0.163,0.162
"team",22200257,"SAC",1610612758,0.495,0.165,0.273,"Kings","Sacramento",240,0.3,0.33
"team",22200257,"MEM",1610612763,0.517,0.177,0.283,"Grizzlies","Memphis",240,0.33,0.3
"team",22200259,"PHX",1610612756,0.447,0.154,0.192,"Suns","Phoenix",240,0.049,0.412
"team",22200259,"LAL",1610612747,0.549,0.135,0.218,"Lakers","Los Angeles",240,0.412,0.049
"team",22200258,"DET",1610612765,0.529,0.179,0.396,"Pistons","Detroit",240,0.159,0.302
"team",22200258,"DEN",1610612743,0.557,0.163,0.349,"Nuggets","Denver",240,0.302,0.159
"team",22200265,"WAS",1610612764,0.505,0.128,0.321,"Wizards","Washington",240,0.213,0.237
"team",22200265,"MIA",1610612748,0.528,0.134,0.226,"Heat","Miami",240,0.237,0.213
"team",22200271,"LAC",1610612746,0.593,0.125,0.3,"Clippers","LA",240,0.31,0.134
"team",22200271,"GSW",1610612744,0.511,0.161,0.333,"Warriors","Golden State",240,0.134,0.31
"team",22200269,"SAS",1610612759,0.659,0.194,0.268,"Spurs","San Antonio",240,0.329,0.366
"team",22200269,"NOP",1610612740,0.541,0.183,0.26,"Pelicans","New Orleans",240,0.366,0.329
"team",22200260,"PHI",1610612755,0.511,0.151,0.291,"76ers","Philadelphia",240,0.209,0.228
"team",22200260,"CHA",1610612766,0.494,0.181,0.265,"Hornets","Charlotte",240,0.228,0.209
"team",22200266,"TOR",1610612761,0.652,0.212,0.237,"Raptors","Toronto",240,0.248,0.085
"team",22200266,"BKN",1610612751,0.391,0.136,0.435,"Nets","Brooklyn",240,0.085,0.248
"team",22200262,"MIN",1610612750,0.469,0.126,0.3,"Timberwolves","Minnesota",240,0.221,0.167
"team",22200262,"IND",1610612754,0.662,0.231,0.323,"Pacers","Indiana",240,0.167,0.221
"team",22200263,"SAC",1610612758,0.505,0.124,0.25,"Kings","Sacramento",240,0.236,0.25
"team",22200263,"ATL",1610612737,0.511,0.177,0.278,"Hawks","Atlanta",240,0.25,0.236
"team",22200268,"OKC",1610612760,0.557,0.176,0.4,"Thunder","Oklahoma City",265,0.289,0.466
"team",22200268,"DEN",1610612743,0.526,0.093,0.286,"Nuggets","Denver",265,0.466,0.289
"team",22200270,"UTA",1610612762,0.562,0.07,0.304,"Jazz","Utah",240,0.229,0.303
"team",22200270,"DET",1610612765,0.602,0.159,0.295,"Pistons","Detroit",240,0.303,0.229
"team",22200261,"POR",1610612757,0.635,0.189,0.343,"Trail Blazers","Portland",240,0.167,0.311
"team",22200261,"CLE",1610612739,0.532,0.189,0.279,"Cavaliers","Cleveland",240,0.311,0.167
"team",22200267,"MIL",1610612749,0.598,0.126,0.152,"Bucks","Milwaukee",240,0.278,0.207
"team",22200267,"CHI",1610612741,0.522,0.182,0.333,"Bulls","Chicago",240,0.207,0.278
"team",22200264,"DAL",1610612742,0.637,0.121,0.205,"Mavericks","Dallas",240,0.256,0.25
"team",22200264,"BOS",1610612738,0.604,0.14,0.214,"Celtics","Boston",240,0.25,0.256
"team",22200277,"WAS",1610612764,0.511,0.127,0.292,"Wizards","Washington",240,0.215,0.258
"team",22200277,"MIA",1610612748,0.489,0.119,0.339,"Heat","Miami",240,0.258,0.215
"team",22200280,"MIL",1610612749,0.46,0.092,0.259,"Bucks","Milwaukee",240,0.301,0.299
"team",22200280,"CLE",1610612739,0.596,0.131,0.25,"Cavaliers","Cleveland",240,0.299,0.301
"team",22200282,"SAS",1610612759,0.53,0.212,0.304,"Spurs","San Antonio",240,0.16,0.241
"team",22200282,"LAL",1610612747,0.41,0.155,0.344,"Lakers","Los Angeles",240,0.241,0.16
"team",22200279,"NOP",1610612740,0.615,0.135,0.327,"Pelicans","New Orleans",240,0.36,0.297
"team",22200279,"MEM",1610612763,0.488,0.128,0.28,"Grizzlies","Memphis",240,0.297,0.36
"team",22200274,"POR",1610612757,0.5,0.087,0.317,"Trail Blazers","Portland",265,0.6,0.267
"team",22200274,"NYK",1610612752,0.553,0.121,0.327,"Knicks","New York",265,0.267,0.6
"team",22200276,"IND",1610612754,0.619,0.179,0.143,"Pacers","Indiana",240,0.442,0.114
"team",22200276,"BKN",1610612751,0.57,0.093,0.196,"Nets","Brooklyn",240,0.114,0.442
"team",22200278,"HOU",1610612745,0.567,0.132,0.188,"Rockets","Houston",240,0.471,0.439
"team",22200278,"ATL",1610612737,0.54,0.209,0.51,"Hawks","Atlanta",240,0.439,0.471
"team",22200281,"OKC",1610612760,0.495,0.134,0.276,"Thunder","Oklahoma City",265,0.337,0.228
"team",22200281,"CHI",1610612741,0.5,0.116,0.269,"Bulls","Chicago",265,0.228,0.337
"team",22200283,"PHX",1610612756,0.473,0.192,0.389,"Suns","Phoenix",240,0.299,0.174
"team",22200283,"DET",1610612765,0.523,0.129,0.313,"Pistons","Detroit",240,0.174,0.299
"team",22200285,"LAC",1610612746,0.551,0.063,0.298,"Clippers","LA",240,0.5,0.258
"team",22200285,"DEN",1610612743,0.625,0.151,0.194,"Nuggets","Denver",240,0.258,0.5
"team",22200275,"SAC",1610612758,0.59,0.099,0.14,"Kings","Sacramento",240,0.299,0.325
"team",22200275,"BOS",1610612738,0.466,0.171,0.321,"Celtics","Boston",240,0.325,0.299
"team",22200273,"PHI",1610612755,0.481,0.145,0.292,"76ers","Philadelphia",240,0.22,0.338
"team",22200273,"ORL",1610612753,0.561,0.172,0.341,"Magic","Orlando",240,0.338,0.22
"team",22200272,"MIN",1610612750,0.494,0.17,0.288,"Timberwolves","Minnesota",240,0.188,0.36
"team",22200272,"CHA",1610612766,0.474,0.147,0.232,"Hornets","Charlotte",240,0.36,0.188
"team",22200284,"UTA",1610612762,0.614,0.193,0.42,"Jazz","Utah",240,0.175,0.059
"team",22200284,"GSW",1610612744,0.531,0.127,0.314,"Warriors","Golden State",240,0.059,0.175
"team",22200289,"UTA",1610612762,0.489,0.064,0.352,"Jazz","Utah",240,0.316,0.326
"team",22200289,"PHX",1610612756,0.589,0.128,0.233,"Suns","Phoenix",240,0.326,0.316
"team",22200286,"TOR",1610612761,0.555,0.167,0.175,"Raptors","Toronto",240,0.295,0.329
"team",22200286,"DAL",1610612742,0.477,0.136,0.377,"Mavericks","Dallas",240,0.329,0.295
"team",22200287,"OKC",1610612760,0.628,0.235,0.317,"Thunder","Oklahoma City",240,0.237,0.163
"team",22200287,"HOU",1610612745,0.443,0.141,0.295,"Rockets","Houston",240,0.163,0.237
"team",22200288,"SAS",1610612759,0.685,0.153,0.167,"Spurs","San Antonio",240,0.19,0.457
