"typeResult","idGame","slugTeam","idTeam","pctAST","pctOREB","pctDREB","pctTREB","pctTOVE","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","teamName","cityTeam","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","pacePer40PACE_PER40","possessions","ratioPIE"
"team",22200806,"MIN",1610612750,0.688,0.186,0.825,0.494,10.358,10.7,0.609,0.639,1,0.198,"Timberwolves","Minnesota",240,120.5,124.3,94.6,94.2,26,30,3,22.9,104.92,103.5,86.25,103,0.625
"team",22200806,"DEN",1610612743,0.559,0.175,0.814,0.506,21.227,21.2,0.521,0.579,1,0.201,"Nuggets","Denver",240,94.6,94.2,120.5,124.3,-26,-30,0.86,15.1,104.92,103.5,86.25,104,0.375
"team",22200802,"ORL",1610612753,0.595,0.392,0.791,0.574,12.22,12.1,0.505,0.571,1,0.2,"Magic","Orlando",240,121.2,120.2,112.9,115.3,8.3,4.9,2.08,17.7,99.16,98.5,82.08,99,0.531
"team",22200802,"CHA",1610612766,0.622,0.209,0.608,0.426,14.982,15.3,0.614,0.607,1,0.196,"Hornets","Charlotte",240,112.9,115.3,121.2,120.2,-8.3,-4.9,1.87,20.6,99.16,98.5,82.08,98,0.469
"team",22200803,"IND",1610612754,0.7,0.286,0.721,0.475,12.661,13.3,0.478,0.506,1,0.195,"Pacers","Indiana",240,100.3,105.1,122,124.5,-21.6,-19.4,2.15,19.6,101.36,98,81.67,98,0.383
"team",22200803,"CLE",1610612739,0.717,0.279,0.714,0.525,12.995,13.3,0.608,0.642,1,0.196,"Cavaliers","Cleveland",240,122,124.5,100.3,105.1,21.6,19.4,2.54,23.4,101.36,98,81.67,98,0.617
"team",22200805,"TOR",1610612761,0.545,0.356,0.786,0.535,10.35,11.1,0.49,0.499,1,0.2,"Raptors","Toronto",240,99.7,107.1,102.9,105.1,-3.1,2,2.18,17,103.2,98.5,82.08,99,0.472
"team",22200805,"MEM",1610612763,0.658,0.214,0.644,0.465,19.976,20.4,0.551,0.584,1,0.196,"Grizzlies","Memphis",240,102.9,105.1,99.7,107.1,3.1,-2,1.25,18.8,103.2,98.5,82.08,98,0.528
"team",22200804,"PHI",1610612755,0.767,0.208,0.712,0.47,12.788,12.4,0.453,0.54,1,0.198,"76ers","Philadelphia",240,103.4,100,114.7,113.7,-11.3,-13.7,1.92,18.4,94,96,80,97,0.502
"team",22200804,"NYK",1610612752,0.618,0.288,0.792,0.53,12.744,12.6,0.506,0.562,1,0.196,"Knicks","New York",240,114.7,113.7,103.4,100,11.3,13.7,1.75,16.3,94,96,80,95,0.498
"team",22200807,"SAC",1610612758,0.657,0.26,0.643,0.435,15.325,15.6,0.494,0.554,1,0.198,"Kings","Sacramento",240,106.3,108.3,137.4,140.2,-31.2,-31.9,1.53,17.4,98.42,96.5,80.42,96,0.365
"team",22200807,"NOP",1610612740,0.542,0.357,0.74,0.565,11.116,11.3,0.647,0.68,1,0.195,"Pelicans","New Orleans",240,137.4,140.2,106.3,108.3,31.2,31.9,2.36,19,98.42,96.5,80.42,97,0.635
"team",22200815,"POR",1610612757,0.622,0.14,0.767,0.41,8.053,8.6,0.456,0.52,1,0.195,"Trail Blazers","Portland",240,96.6,102.9,120.7,121,-24,-18.1,2.56,16.9,108.5,105,87.5,105,0.386
"team",22200815,"MIL",1610612749,0.574,0.233,0.86,0.59,15.203,15.2,0.632,0.66,1,0.198,"Bucks","Milwaukee",240,120.7,121,96.6,102.9,24,18.1,1.69,19.4,108.5,105,87.5,105,0.614
"team",22200814,"OKC",1610612760,0.477,0.208,0.705,0.446,10.553,10.6,0.544,0.569,1,0.201,"Thunder","Oklahoma City",240,109.4,109.6,134.2,135.6,-24.8,-26,1.91,15.9,104.66,104,86.67,104,0.402
"team",22200814,"GSW",1610612744,0.768,0.295,0.792,0.554,15.226,15.4,0.711,0.704,1,0.198,"Warriors","Golden State",240,134.2,135.6,109.4,109.6,24.8,26,2.69,27,104.66,104,86.67,104,0.598
"team",22200813,"UTA",1610612762,0.512,0.298,0.592,0.448,12.815,13.4,0.506,0.564,1,0.196,"Jazz","Utah",240,109.4,114.4,125.7,127.8,-16.3,-13.4,1.62,15.9,100.04,97,80.83,97,0.439
"team",22200813,"DAL",1610612742,0.634,0.408,0.702,0.552,14.193,14.4,0.551,0.61,1,0.199,"Mavericks","Dallas",240,125.7,127.8,109.4,114.4,16.3,13.4,1.86,18.4,100.04,97,80.83,97,0.561
"team",22200812,"SAC",1610612758,0.731,0.231,0.638,0.453,10.008,10.2,0.702,0.722,1,0.2,"Kings","Sacramento",240,140.1,142.9,118.2,120,22,22.9,3.8,26.2,100.74,99,82.5,98,0.576
