"typeResult","idGame","slugTeam","idTeam","pctAST","pctOREB","pctDREB","pctTREB","pctTOVE","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","teamName","cityTeam","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","pacePer40PACE_PER40","possessions","ratioPIE"
"team",22200399,"PHI",1610612755,0.674,0.268,0.614,0.469,15.373,15.8,0.633,0.675,1,0.195,"76ers","Philadelphia",240,125.9,129.7,105.4,110.8,20.5,18.9,1.94,21.5,105.64,101.5,84.58,101,0.591
"team",22200399,"CHA",1610612766,0.553,0.386,0.732,0.531,14.925,15.7,0.468,0.532,1,0.196,"Hornets","Charlotte",240,105.4,110.8,125.9,129.7,-20.5,-18.9,1.31,14.7,105.64,101.5,84.58,102,0.409
"team",22200403,"WAS",1610612764,0.568,0.222,0.826,0.527,19.478,19.6,0.538,0.564,1,0.197,"Wizards","Washington",240,97.4,98,108.8,112,-11.4,-14,1.05,16.2,102.8,101,84.17,102,0.442
"team",22200403,"BKN",1610612751,0.568,0.174,0.778,0.473,12.631,13,0.539,0.578,1,0.193,"Nets","Brooklyn",240,108.8,112,97.4,98,11.4,14,1.92,18.5,102.8,101,84.17,100,0.558
"team",22200408,"LAC",1610612746,0.409,0.286,0.851,0.563,10.179,10.2,0.544,0.569,1,0.2,"Clippers","LA",240,115,115.3,95.4,94.9,19.6,20.4,1.8,14.1,97.84,98,81.67,98,0.546
"team",22200408,"BOS",1610612738,0.818,0.149,0.714,0.438,15.394,15.3,0.493,0.532,1,0.201,"Celtics","Boston",240,95.4,94.9,115,115.3,-19.6,-20.4,1.8,20.9,97.84,98,81.67,98,0.454
"team",22200407,"POR",1610612757,0.667,0.289,0.846,0.588,17.884,17.9,0.657,0.677,1,0.198,"Trail Blazers","Portland",240,125.2,125.5,107.3,105.7,17.9,19.8,1.68,21.4,105.3,106,88.33,106,0.575
"team",22200407,"MIN",1610612750,0.543,0.154,0.711,0.412,9.582,9.4,0.548,0.552,1,0.199,"Timberwolves","Minnesota",240,107.3,105.7,125.2,125.5,-17.9,-19.8,2.5,18.3,105.3,106,88.33,106,0.425
"team",22200405,"OKC",1610612760,0.5,0.239,0.636,0.455,12.969,13.1,0.534,0.586,1,0.198,"Thunder","Oklahoma City",240,113.7,115.2,118.6,121,-4.9,-5.8,1.62,16,101.12,99.5,82.92,99,0.482
"team",22200405,"DAL",1610612742,0.615,0.364,0.761,0.545,13.725,14,0.538,0.582,1,0.198,"Mavericks","Dallas",240,118.6,121,113.7,115.2,4.9,5.8,1.71,16.9,101.12,99.5,82.92,100,0.518
"team",22200406,"SAS",1610612759,0.543,0.377,0.596,0.48,13.26,13.4,0.521,0.538,1,0.197,"Spurs","San Antonio",240,114.2,115.5,111.6,113.3,2.7,2.2,1.92,17.6,98.76,97.5,81.25,97,0.473
"team",22200406,"CLE",1610612739,0.467,0.404,0.623,0.52,15.078,15.3,0.516,0.558,1,0.201,"Cavaliers","Cleveland",240,111.6,113.3,114.2,115.5,-2.7,-2.2,1.4,15.5,98.76,97.5,81.25,98,0.527
"team",22200404,"MEM",1610612763,0.72,0.4,0.625,0.551,21.116,22.1,0.681,0.704,1,0.197,"Grizzlies","Memphis",240,117.5,123.1,93.9,100,23.6,23.1,1.57,24,109.3,103.5,86.25,104,0.711
"team",22200404,"ATL",1610612737,0.541,0.375,0.6,0.449,14.588,15.5,0.413,0.453,1,0.197,"Hawks","Atlanta",240,93.9,100,117.5,123.1,-23.6,-23.1,1.25,13.4,109.3,103.5,86.25,103,0.289
"team",22200402,"MIA",1610612748,0.719,0.245,0.727,0.491,14.595,15.1,0.44,0.478,1,0.198,"Heat","Miami",240,90.7,93.5,83.8,87.2,6.9,6.3,1.64,18,96.86,93.5,77.92,93,0.559
"team",22200402,"IND",1610612754,0.571,0.273,0.755,0.509,18.405,19.1,0.424,0.467,1,0.195,"Pacers","Indiana",240,83.8,87.2,90.7,93.5,-6.9,-6.3,0.89,13.1,96.86,93.5,77.92,94,0.441
"team",22200410,"MIL",1610612749,0.489,0.308,0.767,0.586,21.479,21.3,0.622,0.666,1,0.195,"Bucks","Milwaukee",240,119.5,118.5,101.5,102.8,18,15.7,0.96,15.6,108.22,108,90,108,0.629
"team",22200410,"GSW",1610612744,0.658,0.233,0.692,0.414,16.459,16.7,0.505,0.537,1,0.198,"Warriors","Golden State",240,101.5,102.8,119.5,118.5,-18,-15.7,1.39,17.1,108.22,108,90,108,0.371
"team",22200412,"UTA",1610612762,0.633,0.439,0.672,0.559,19.77,20.8,0.549,0.559,1,0.192,"Jazz","Utah",240,108.7,114.2,91.3,95.2,17.4,18.9,1.41,19.2,110.4,105.5,87.92,106,0.596
"team",22200412,"NOP",1610612740,0.676,0.328,0.561,0.441,15.522,16.2,0.419,0.465,1,0.198,"Pelicans","New Orleans",240,91.3,95.2,108.7,114.2,-17.4,-18.9,1.47,16.7,110.4,105.5,87.92,105,0.404
"team",22200413,"LAL",1610612747,0.523,0.192,0.733,0.482,10.791,10.8,0.516,0.556,1,0.2,"Lakers","Los Angeles",265,106.1,106.3,108.9,108.9,-2.8,-2.6,1.92,16.3,101.09,100.98,84.15,111,0.525
"team",22200413,"BOS",1610612738,0.587,0.267,0.808,0.518,12.496,12.5,0.534,0.549,1,0.2,"Celtics","Boston",265,108.9,108.9,106.1,106.3,2.8,2.6,1.93,17.8,101.09,100.98,84.15,112,0.475
"team",22200411,"PHX",1610612756,0.667,0.296,0.592,0.417,9.675,10,0.383,0.436,1,0.196,"Suns","Phoenix",240,93.8,97,108.9,109.9,-15,-12.9,2.2,15.3,102.66,100.5,83.75,100,0.391
"team",22200411,"HOU",1610612745,0.471,0.408,0.704,0.583,22.558,22.8,0.494,0.578,1,0.197,"Rockets","Houston",240,108.9,109.9,93.8,97,15,12.9,0.7,11.9,102.66,100.5,83.75,101,0.609
"team",22200409,"SAC",1610612758,0.553,0.291,0.907,0.561,16.221,16.2,0.467,0.511,1,0.2,"Kings","Sacramento",240,98.3,98.1,118.4,118.3,-20.1,-20.2,1.24,15.1,104.34,104.5,87.08,105,0.372
"team",22200409,"PHI",1610612755,0.791,0.093,0.709,0.439,11.552,11.5,0.607,0.641,1,0.197,"76ers","Philadelphia",240,118.4,118.3,98.3,98.1,20.1,20.2,2.83,24,104.34,104.5,87.08,104,0.628
"team",22200421,"DAL",1610612742,0.586,0.22,0.737,0.443,14.063,14.8,0.48,0.527,1,0.195,"Mavericks","Dallas",240,97.4,102.3,116.2,119.3,-18.8,-17,1.31,14.7,91.4,88,73.33,88,0.36
"team",22200421,"CLE",1610612739,0.634,0.263,0.78,0.557,9.96,10.2,0.577,0.608,1,0.195,"Cavaliers","Cleveland",240,116.2,119.3,97.4,102.3,18.8,17,2.89,21.4,91.4,88,73.33,88,0.64
