"typeResult","idGame","slugTeam","idTeam","pctEFGOpponent","pctTOVOpponent","pctOREBOpponent","teamName","cityTeam","minExact","rateFTA","rateFTAOpponent"
"team",22201040,"DAL",1610612742,0.528,0.089,0.317,"Mavericks","Dallas",265,0.43,0.243
"team",22201037,"SAC",1610612758,0.474,0.136,0.323,"Kings","Sacramento",240,0.372,0.258
"team",22201037,"CHI",1610612741,0.603,0.189,0.196,"Bulls","Chicago",240,0.258,0.372
"team",22201036,"MIA",1610612748,0.604,0.158,0.265,"Heat","Miami",240,0.402,0.154
"team",22201036,"MEM",1610612763,0.677,0.128,0.229,"Grizzlies","Memphis",240,0.154,0.402
"team",22201042,"DET",1610612765,0.573,0.103,0.378,"Pistons","Detroit",240,0.212,0.281
"team",22201042,"DEN",1610612743,0.529,0.175,0.32,"Nuggets","Denver",240,0.281,0.212
"team",22201044,"TOR",1610612761,0.495,0.124,0.286,"Raptors","Toronto",240,0.289,0.213
"team",22201044,"OKC",1610612760,0.557,0.1,0.426,"Thunder","Oklahoma City",240,0.213,0.289
"team",22201043,"SAC",1610612758,0.5,0.074,0.077,"Kings","Sacramento",240,0.39,0.288
"team",22201043,"BKN",1610612751,0.47,0.126,0.304,"Nets","Brooklyn",240,0.288,0.39
"team",22201046,"PHX",1610612756,0.547,0.182,0.295,"Suns","Phoenix",240,0.189,0.267
"team",22201046,"ORL",1610612753,0.55,0.134,0.191,"Magic","Orlando",240,0.267,0.189
"team",22201045,"MIL",1610612749,0.67,0.095,0.217,"Bucks","Milwaukee",240,0.292,0.155
"team",22201045,"IND",1610612754,0.59,0.116,0.239,"Pacers","Indiana",240,0.155,0.292
"team",22201053,"POR",1610612757,0.557,0.176,0.408,"Trail Blazers","Portland",240,0.392,0.402
"team",22201053,"BOS",1610612738,0.57,0.183,0.222,"Celtics","Boston",240,0.402,0.392
"team",22201050,"MIN",1610612750,0.601,0.106,0.178,"Timberwolves","Minnesota",290,0.31,0.319
"team",22201050,"CHI",1610612741,0.55,0.138,0.279,"Bulls","Chicago",290,0.319,0.31
"team",22201052,"SAS",1610612759,0.554,0.151,0.298,"Spurs","San Antonio",265,0.296,0.208
"team",22201052,"MEM",1610612763,0.5,0.174,0.361,"Grizzlies","Memphis",265,0.208,0.296
"team",22201049,"WAS",1610612764,0.575,0.111,0.233,"Wizards","Washington",240,0.263,0.253
"team",22201049,"CLE",1610612739,0.513,0.177,0.209,"Cavaliers","Cleveland",240,0.253,0.263
"team",22201047,"PHI",1610612755,0.366,0.134,0.21,"76ers","Philadelphia",240,0.272,0.302
"team",22201047,"CHA",1610612766,0.554,0.144,0.354,"Hornets","Charlotte",240,0.302,0.272
"team",22201054,"LAL",1610612747,0.608,0.157,0.244,"Lakers","Los Angeles",240,0.369,0.241
"team",22201054,"DAL",1610612742,0.542,0.124,0.396,"Mavericks","Dallas",240,0.241,0.369
"team",22201048,"GSW",1610612744,0.55,0.101,0.298,"Warriors","Golden State",240,0.204,0.25
"team",22201048,"ATL",1610612737,0.536,0.158,0.352,"Hawks","Atlanta",240,0.25,0.204
"team",22201051,"NOP",1610612740,0.551,0.135,0.375,"Pelicans","New Orleans",240,0.305,0.273
"team",22201051,"HOU",1610612745,0.549,0.096,0.196,"Rockets","Houston",240,0.273,0.305
"team",22201056,"ORL",1610612753,0.5,0.146,0.294,"Magic","Orlando",240,0.298,0.267
"team",22201056,"LAC",1610612746,0.56,0.173,0.311,"Clippers","LA",240,0.267,0.298
"team",22201060,"MIA",1610612748,0.669,0.153,0.229,"Heat","Miami",240,0.293,0.075
"team",22201060,"CHI",1610612741,0.488,0.151,0.388,"Bulls","Chicago",240,0.075,0.293
"team",22201058,"TOR",1610612761,0.488,0.145,0.229,"Raptors","Toronto",240,0.233,0.329
"team",22201058,"MIN",1610612750,0.583,0.143,0.222,"Timberwolves","Minnesota",240,0.329,0.233
"team",22201057,"PHI",1610612755,0.586,0.169,0.372,"76ers","Philadelphia",240,0.25,0.23
"team",22201057,"IND",1610612754,0.699,0.08,0.189,"Pacers","Indiana",240,0.23,0.25
"team",22201059,"WAS",1610612764,0.686,0.082,0.167,"Wizards","Washington",240,0.297,0.267
"team",22201059,"SAC",1610612758,0.522,0.099,0.264,"Kings","Sacramento",240,0.267,0.297
"team",22201061,"MEM",1610612763,0.5,0.125,0.444,"Grizzlies","Memphis",240,0.179,0.374
"team",22201061,"GSW",1610612744,0.642,0.071,0.341,"Warriors","Golden State",240,0.374,0.179
"team",22201062,"UTA",1610612762,0.602,0.082,0.149,"Jazz","Utah",240,0.227,0.182
"team",22201062,"BOS",1610612738,0.521,0.072,0.333,"Celtics","Boston",240,0.182,0.227
"team",22201055,"NYK",1610612752,0.583,0.133,0.262,"Knicks","New York",240,0.337,0.179
"team",22201055,"DEN",1610612743,0.548,0.13,0.341,"Nuggets","Denver",240,0.179,0.337
"team",22201064,"PHX",1610612756,0.565,0.146,0.261,"Suns","Phoenix",240,0.261,0.429
"team",22201064,"OKC",1610612760,0.56,0.13,0.2,"Thunder","Oklahoma City",240,0.429,0.261
"team",22201065,"SAS",1610612759,0.5,0.118,0.389,"Spurs","San Antonio",240,0.17,0.198
