"typeResult","idGame","slugTeam","idTeam","pctEFGOpponent","pctTOVOpponent","pctOREBOpponent","teamName","cityTeam","minExact","rateFTA","rateFTAOpponent"
"team",22200397,"SAC",1610612758,0.494,0.165,0.34,"Kings","Sacramento",240,0.422,0.303
"team",22200397,"NYK",1610612752,0.458,0.163,0.236,"Knicks","New York",240,0.303,0.422
"team",22200406,"SAS",1610612759,0.516,0.151,0.404,"Spurs","San Antonio",240,0.165,0.185
"team",22200406,"CLE",1610612739,0.521,0.133,0.377,"Cavaliers","Cleveland",240,0.185,0.165
"team",22200404,"MEM",1610612763,0.413,0.146,0.375,"Grizzlies","Memphis",240,0.217,0.212
"team",22200404,"ATL",1610612737,0.681,0.211,0.4,"Hawks","Atlanta",240,0.212,0.217
"team",22200402,"MIA",1610612748,0.424,0.184,0.273,"Heat","Miami",240,0.217,0.253
"team",22200402,"IND",1610612754,0.44,0.146,0.245,"Pacers","Indiana",240,0.253,0.217
"team",22200405,"OKC",1610612760,0.538,0.137,0.364,"Thunder","Oklahoma City",240,0.239,0.269
"team",22200405,"DAL",1610612742,0.534,0.13,0.239,"Mavericks","Dallas",240,0.269,0.239
"team",22200407,"POR",1610612757,0.548,0.096,0.154,"Trail Blazers","Portland",240,0.236,0.204
"team",22200407,"MIN",1610612750,0.657,0.179,0.289,"Timberwolves","Minnesota",240,0.204,0.236
"team",22200408,"LAC",1610612746,0.493,0.154,0.149,"Clippers","LA",240,0.233,0.342
"team",22200408,"BOS",1610612738,0.544,0.102,0.286,"Celtics","Boston",240,0.342,0.233
"team",22200403,"WAS",1610612764,0.539,0.126,0.174,"Wizards","Washington",240,0.278,0.202
"team",22200403,"BKN",1610612751,0.538,0.195,0.222,"Nets","Brooklyn",240,0.202,0.278
"team",22200409,"SAC",1610612758,0.607,0.116,0.093,"Kings","Sacramento",240,0.217,0.321
"team",22200409,"PHI",1610612755,0.467,0.162,0.291,"76ers","Philadelphia",240,0.321,0.217
"team",22200412,"UTA",1610612762,0.419,0.155,0.328,"Jazz","Utah",240,0.117,0.355
"team",22200412,"NOP",1610612740,0.549,0.198,0.439,"Pelicans","New Orleans",240,0.355,0.117
"team",22200413,"LAL",1610612747,0.534,0.125,0.267,"Lakers","Los Angeles",265,0.323,0.154
"team",22200413,"BOS",1610612738,0.516,0.108,0.192,"Celtics","Boston",265,0.154,0.323
"team",22200410,"MIL",1610612749,0.505,0.165,0.233,"Bucks","Milwaukee",240,0.39,0.2
